timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T00:00:34.362216,49.6,33.3,33.9,
2026-02-03T00:00:36.564953,50.15,18.0,34.0,
2026-02-03T00:00:38.766917,50.7,27.1,33.9,
2026-02-03T00:00:40.969077,49.6,4.3,33.5,
2026-02-03T00:00:43.171622,50.15,5.0,33.5,
2026-02-03T00:00:45.374096,50.15,3.2,33.5,
2026-02-03T00:00:47.576475,49.6,13.7,33.5,
2026-02-03T00:00:49.781298,49.05,17.3,33.6,
2026-02-03T00:00:51.983169,50.7,20.0,33.6,
2026-02-03T00:00:54.186088,51.25,18.9,33.7,
2026-02-03T00:00:56.388501,54.0,60.9,34.9,3.9
2026-02-03T00:00:58.591148,54.0,29.3,34.9,11.1
2026-02-03T00:01:00.795222,51.8,19.5,34.8,10.5
2026-02-03T00:01:02.997389,51.8,29.9,34.6,10.8
2026-02-03T00:01:05.199443,52.9,30.5,34.6,10.9
2026-02-03T00:01:07.405124,51.8,24.9,33.8,
2026-02-03T00:01:09.607583,51.25,8.3,33.8,
2026-02-03T00:01:11.809991,52.9,22.0,33.7,
