timestamp,frame_count,fps
2026-03-24T17:45:03.749951,30,2.66
2026-03-24T17:45:14.474189,60,2.821
2026-03-24T17:45:24.936784,90,2.881
2026-03-24T17:45:36.456472,120,2.686
2026-03-24T17:45:47.712883,150,2.721
2026-03-24T17:45:59.088308,180,2.679
2026-03-24T17:46:12.452409,210,2.309
2026-03-24T17:46:26.501813,240,2.292
2026-03-24T17:46:37.718230,270,2.699
2026-03-24T17:46:49.791608,300,2.572
2026-03-24T17:47:02.029595,330,2.531
2026-03-24T17:47:13.624695,360,2.618
2026-03-24T17:47:25.397921,390,2.586
2026-03-24T17:47:36.474902,420,2.72
2026-03-24T17:47:48.115614,450,2.596
2026-03-24T17:47:59.463358,480,2.662
2026-03-24T17:48:10.698095,510,2.693
2026-03-24T17:48:23.239612,540,2.471
2026-03-24T17:48:35.548842,570,2.466
