timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T16:04:34.423249,44.65,66.7,12.8,
2026-02-03T16:04:36.626183,47.4,30.4,13.9,17.6
2026-02-03T16:04:38.829588,46.85,36.3,14.0,37.5
2026-02-03T16:04:41.032237,47.95,34.9,14.1,37.6
2026-02-03T16:04:43.234148,50.15,44.9,14.2,37.5
2026-02-03T16:04:45.440531,47.95,40.9,14.3,37.3
2026-02-03T16:04:47.644202,49.05,36.3,14.3,37.2
2026-02-03T16:04:49.848079,49.6,31.3,14.3,37.9
2026-02-03T16:04:52.050355,50.15,34.0,14.3,37.9
2026-02-03T16:04:54.252370,49.05,32.7,14.3,37.2
2026-02-03T16:04:56.457725,48.5,39.8,14.4,37.4
2026-02-03T16:04:58.661995,47.95,36.9,14.2,37.2
2026-02-03T16:05:00.865552,50.15,36.6,14.2,38.4
2026-02-03T16:05:03.067727,49.6,31.1,14.2,38.3
2026-02-03T16:05:05.271181,49.05,33.6,14.1,37.2
2026-02-03T16:05:07.475946,49.6,37.4,14.0,37.2
2026-02-03T16:05:09.678822,50.15,28.9,14.0,37.9
2026-02-03T16:05:11.882999,49.6,35.9,14.0,38.3
2026-02-03T16:05:14.089867,50.15,31.1,14.0,38.3
2026-02-03T16:05:16.293087,51.25,34.3,14.0,38.0
2026-02-03T16:05:18.495379,50.15,30.1,14.0,37.5
2026-02-03T16:05:20.697909,50.15,36.2,14.0,38.6
2026-02-03T16:05:22.900396,51.25,28.9,14.0,38.2
2026-02-03T16:05:25.104174,49.6,36.4,14.0,38.2
2026-02-03T16:05:27.308926,50.7,32.6,14.0,37.4
2026-02-03T16:05:29.510831,50.15,34.1,14.0,37.2
2026-02-03T16:05:31.714881,51.25,33.8,14.0,37.3
2026-02-03T16:05:33.920949,50.15,30.8,14.0,38.3
2026-02-03T16:05:36.124501,50.15,35.0,14.0,38.2
2026-02-03T16:05:38.327540,51.25,30.5,14.0,37.6
2026-02-03T16:05:40.530777,51.25,34.2,14.0,37.5
2026-02-03T16:05:42.734393,50.15,30.7,14.0,37.9
2026-02-03T16:05:44.937173,51.25,33.9,14.0,38.5
2026-02-03T16:05:47.141332,51.25,30.3,14.0,38.1
2026-02-03T16:05:49.343464,50.7,35.6,14.0,37.8
2026-02-03T16:05:51.547660,51.25,32.4,13.9,38.3
2026-02-03T16:05:53.752565,51.8,40.7,13.8,37.8
2026-02-03T16:05:55.954887,50.15,35.3,13.8,37.9
2026-02-03T16:05:58.159070,52.35,29.5,13.8,37.7
2026-02-03T16:06:00.361178,51.8,34.6,13.8,38.3
2026-02-03T16:06:02.563802,52.35,30.5,13.9,38.3
2026-02-03T16:06:04.766881,51.8,37.2,13.9,37.4
2026-02-03T16:06:06.971782,51.8,29.5,13.9,37.1
2026-02-03T16:06:09.174332,51.8,34.5,13.9,37.3
2026-02-03T16:06:11.378115,52.35,37.8,13.9,37.9
2026-02-03T16:06:13.580526,50.15,28.5,13.9,37.7
2026-02-03T16:06:15.783620,51.25,33.9,13.9,37.1
2026-02-03T16:06:17.987717,51.25,30.8,13.9,38.0
2026-02-03T16:06:20.191408,51.8,34.5,13.9,37.0
2026-02-03T16:06:22.397792,51.8,32.2,13.9,37.2
2026-02-03T16:06:24.600394,52.9,34.3,13.9,38.0
2026-02-03T16:06:26.803010,52.35,30.1,13.9,37.2
2026-02-03T16:06:29.006441,51.25,37.0,13.9,38.4
2026-02-03T16:06:31.209866,52.35,29.1,13.9,37.0
2026-02-03T16:06:33.413408,52.35,36.1,13.9,37.4
2026-02-03T16:06:35.616471,52.9,28.4,13.9,37.1
2026-02-03T16:06:37.818975,53.45,37.8,13.9,37.9
2026-02-03T16:06:40.024192,52.9,39.5,13.9,38.5
2026-02-03T16:06:42.227718,54.55,34.7,13.9,37.5
2026-02-03T16:06:44.434668,52.9,29.1,13.9,37.3
2026-02-03T16:06:46.636993,53.45,38.2,13.9,37.6
2026-02-03T16:06:48.842960,54.0,29.1,13.9,38.1
2026-02-03T16:06:51.045775,54.0,34.8,13.9,38.2
2026-02-03T16:06:53.249900,53.45,30.0,13.9,37.1
2026-02-03T16:06:55.451777,52.35,32.2,13.9,37.7
2026-02-03T16:06:57.655442,53.45,31.9,13.9,37.8
2026-02-03T16:06:59.861806,52.35,35.8,13.9,37.9
