frame,fps
1,1.23
2,33.43
3,36.83
4,33.76
5,35.07
6,37.83
7,39.33
8,30.28
9,26.94
10,45.54
11,37.83
12,34.11
13,33.19
14,37.91
15,35.15
16,32.19
17,31.79
18,36.02
19,37.03
20,32.51
21,31.97
22,40.08
23,32.41
24,33.75
25,35.95
26,36.82
27,30.92
28,33.39
29,36.19
30,38.09
31,33.49
32,31.72
33,35.37
34,33.78
35,33.27
36,33.94
37,35.99
38,37.95
39,33.47
40,30.81
41,37.04
42,37.56
43,32.61
44,30.66
45,35.96
46,39.74
47,32.71
48,31.81
49,36.33
50,37.00
51,32.08
52,31.13
53,39.76
54,35.73
55,32.48
56,30.11
57,41.60
58,35.45
59,30.53
60,33.56
61,35.90
62,36.33
63,33.25
64,32.62
65,40.23
66,34.10
67,31.87
68,31.41
69,41.31
70,35.14
71,30.88
72,33.38
73,36.92
74,30.88
75,32.16
76,36.52
77,41.98
78,33.32
79,31.39
80,36.55
81,37.36
82,33.61
83,32.77
84,35.39
85,34.46
86,35.44
87,31.35
88,36.87
89,36.76
90,32.61
91,31.13
92,36.32
93,38.45
94,30.87
95,31.31
96,40.55
97,36.59
98,31.98
99,31.54
100,37.15
101,37.39
102,31.76
103,32.50
104,37.79
105,36.17
106,31.54
107,31.75
108,39.08
109,36.40
110,29.06
111,31.20
112,46.14
113,35.26
114,31.00
115,36.03
116,33.63
117,36.31
118,32.44
119,37.07
120,35.50
121,34.08
122,30.34
123,37.48
124,36.88
125,33.77
126,31.33
127,37.74
128,35.47
129,33.36
130,30.69
131,38.79
132,34.03
133,30.02
134,32.03
135,39.07
136,39.68
137,28.52
138,26.80
139,45.32
140,29.71
141,24.57
142,56.90
143,35.75
144,26.45
145,30.16
146,27.23
147,65.79
148,53.80
149,38.04
150,27.74
151,35.00
152,29.22
153,49.33
154,30.89
155,40.17
156,38.40
157,32.86
158,29.43
159,44.93
160,34.27
161,32.08
162,31.31
163,35.43
164,34.33
165,36.70
166,29.85
167,33.53
168,34.40
169,36.61
170,30.78
171,50.45
172,31.21
173,32.27
174,32.24
175,43.73
176,33.74
177,27.56
178,33.98
179,29.16
180,30.32
181,38.73
182,43.16
183,37.43
184,41.19
185,31.11
186,42.25
187,35.92
188,29.47
189,28.95
190,37.36
191,39.38
192,30.39
193,31.13
194,28.67
195,34.92
196,46.43
197,33.39
198,42.38
199,38.32
200,29.65
201,32.59
202,39.86
203,32.49
204,33.58
205,31.27
206,43.23
207,35.59
208,31.40
209,31.43
210,37.43
211,33.10
212,32.97
213,35.16
214,41.97
215,31.95
216,30.45
217,32.76
218,41.67
219,36.56
220,31.27
221,30.79
222,37.30
223,37.57
224,30.55
225,32.77
226,39.42
227,35.86
228,31.34
229,33.65
230,44.39
231,31.30
232,31.89
233,40.07
234,34.90
235,32.27
236,29.99
237,33.70
238,30.20
239,41.23
240,33.61
241,31.56
242,27.63
243,31.52
244,37.52
245,43.95
246,31.30
247,41.29
248,32.43
249,33.91
250,36.97
251,40.02
252,30.09
253,41.50
254,39.03
255,31.57
256,30.23
257,39.12
258,36.66
259,32.26
260,29.58
261,32.01
262,29.62
263,40.03
264,36.96
265,48.02
266,34.62
267,30.68
268,31.47
269,37.72
270,35.51
271,30.61
272,33.22
273,45.63
274,32.12
275,26.91
276,28.04
277,39.83
278,26.76
279,46.54
280,34.76
281,34.85
282,24.05
283,56.56
284,40.12
285,36.00
286,35.21
287,35.29
288,39.10
289,23.93
290,37.46
291,43.28
292,41.52
293,35.74
294,32.07
295,33.18
296,32.79
297,33.42
298,36.56
299,35.40
300,38.90
301,30.38
302,33.91
303,33.38
304,46.01
305,33.57
306,29.90
307,31.59
308,40.29
309,36.94
310,25.05
311,39.03
312,40.51
313,30.36
314,36.05
315,33.53
316,39.11
317,38.28
318,30.65
319,40.89
320,34.86
321,32.03
322,27.46
323,34.45
324,34.44
325,30.69
326,39.51
327,51.42
328,35.32
329,30.15
330,31.29
331,36.78
332,30.70
333,39.95
334,32.17
335,44.00
336,33.62
337,31.44
338,28.59
339,43.78
340,36.29
341,32.63
342,32.10
343,40.40
344,35.49
345,30.35
346,30.74
347,48.32
348,33.07
349,30.04
350,32.28
351,45.64
352,30.92
353,31.12
354,34.45
355,43.25
356,32.69
357,30.78
358,31.50
359,47.42
360,31.99
361,31.91
362,36.64
363,37.63
364,31.36
365,30.17
366,39.45
367,37.53
368,30.61
369,33.20
370,37.10
371,38.38
372,31.62
373,31.08
374,37.33
375,38.78
376,29.41
377,34.75
378,34.18
379,40.56
380,31.05
381,32.15
382,35.54
383,38.91
384,32.00
385,29.46
386,36.81
387,39.85
388,32.95
389,36.91
390,36.28
391,32.53
392,30.72
393,38.27
394,30.57
395,38.02
396,30.76
397,41.47
398,35.01
399,33.35
400,31.93
401,36.89
402,37.76
403,26.90
404,33.13
405,36.23
406,45.72
407,32.30
408,31.51
409,42.79
410,33.43
411,26.92
412,27.70
413,44.96
414,28.00
415,45.86
416,34.01
417,36.11
418,24.58
419,45.45
420,36.60
421,43.69
422,35.10
423,17.98
424,59.31
425,52.77
426,38.45
427,34.21
428,32.53
429,41.72
430,33.30
431,31.01
432,35.92
433,38.44
434,32.61
435,31.76
436,30.28
437,41.59
438,33.80
439,34.38
440,36.35
441,33.52
442,32.78
443,30.70
444,31.24
445,46.53
446,33.42
447,32.18
448,37.91
449,39.11
450,30.40
451,31.15
452,42.74
453,34.93
454,22.34
455,46.41
456,41.63
457,39.94
458,29.21
459,33.72
460,39.77
461,34.32
462,30.72
463,35.69
464,34.81
465,39.09
466,30.14
467,31.19
468,40.22
469,38.86
470,30.21
471,30.00
472,40.63
473,38.45
474,30.95
475,30.29
476,45.13
477,33.25
478,29.31
479,31.85
480,34.53
481,40.19
482,32.99
483,41.60
484,36.09
485,31.01
486,29.74
487,36.00
488,35.80
489,35.45
490,33.57
491,32.92
492,43.23
493,32.46
494,30.04
495,31.42
496,46.31
497,31.82
498,32.30
499,29.52
500,49.97
501,33.21
502,30.40
