timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T13:20:46.740527,52.35,0.0,26.8,
2026-02-03T13:20:48.943150,52.9,41.4,28.1,12.1
2026-02-03T13:20:51.147521,53.45,48.3,28.1,26.2
2026-02-03T13:20:53.353845,54.0,51.7,28.3,26.3
2026-02-03T13:20:55.560360,55.1,45.2,28.3,25.2
2026-02-03T13:20:57.764155,55.1,40.4,28.2,25.5
2026-02-03T13:20:59.969723,54.55,41.9,28.1,26.0
2026-02-03T13:21:02.172102,53.45,37.4,28.1,26.1
2026-02-03T13:21:04.374539,54.55,31.6,28.1,25.5
2026-02-03T13:21:06.577312,55.1,42.8,28.0,26.2
2026-02-03T13:21:08.780603,54.0,31.5,28.0,25.8
2026-02-03T13:21:10.985984,55.65,36.0,28.0,26.1
2026-02-03T13:21:13.189353,54.55,40.1,28.0,26.1
2026-02-03T13:21:15.394463,54.55,34.2,28.0,25.2
2026-02-03T13:21:17.598874,56.2,35.4,28.0,26.0
2026-02-03T13:21:19.803874,54.55,38.0,28.0,25.8
2026-02-03T13:21:22.006433,54.0,37.2,28.0,26.2
2026-02-03T13:21:24.210993,55.65,32.9,28.0,26.0
2026-02-03T13:21:26.414403,54.55,40.7,28.0,25.9
2026-02-03T13:21:28.618503,55.1,35.2,28.0,26.3
2026-02-03T13:21:30.821955,55.65,40.1,28.1,25.5
2026-02-03T13:21:33.027280,56.2,34.6,28.0,25.4
2026-02-03T13:21:35.230626,56.2,43.8,28.1,25.4
2026-02-03T13:21:37.434898,55.1,34.6,28.1,25.4
2026-02-03T13:21:39.638488,54.55,55.2,28.1,25.3
2026-02-03T13:21:41.847734,56.75,65.8,28.1,25.5
2026-02-03T13:21:44.053071,56.2,50.9,28.0,25.3
2026-02-03T13:21:46.255739,55.1,31.5,28.1,25.3
2026-02-03T13:21:48.461904,57.85,56.8,28.4,26.9
2026-02-03T13:21:50.667524,57.3,44.0,28.5,25.9
2026-02-03T13:21:52.872925,56.75,56.3,28.4,25.9
2026-02-03T13:21:55.075967,56.75,56.5,28.1,26.4
2026-02-03T13:21:57.293042,56.75,39.2,28.1,25.4
2026-02-03T13:21:59.495376,58.4,40.8,28.0,25.5
2026-02-03T13:22:01.702037,57.85,44.6,27.9,26.5
2026-02-03T13:22:03.906247,55.65,40.4,28.0,25.4
2026-02-03T13:22:06.110428,56.75,41.9,28.0,25.3
2026-02-03T13:22:08.328229,56.75,59.7,28.0,25.5
2026-02-03T13:22:10.532811,57.3,39.2,28.0,25.3
2026-02-03T13:22:12.736973,56.2,40.0,28.0,25.3
2026-02-03T13:22:14.941087,56.75,46.7,27.9,25.4
2026-02-03T13:22:17.143012,57.3,39.0,27.9,25.5
2026-02-03T13:22:19.352526,58.4,44.7,27.9,25.4
2026-02-03T13:22:21.554458,56.75,38.0,27.9,25.6
2026-02-03T13:22:23.756660,58.4,42.4,27.9,25.4
2026-02-03T13:22:25.960651,57.3,37.6,27.9,25.1
2026-02-03T13:22:28.168451,57.85,58.9,28.7,27.5
2026-02-03T13:22:30.373381,58.4,36.9,28.6,25.3
2026-02-03T13:22:32.579917,56.75,41.5,28.4,25.6
2026-02-03T13:22:34.785908,59.5,56.7,28.5,26.6
2026-02-03T13:22:36.989557,58.4,37.9,28.7,25.7
2026-02-03T13:22:39.194055,57.85,46.0,28.5,24.7
2026-02-03T13:22:41.397157,57.3,39.2,28.3,26.1
2026-02-03T13:22:43.600617,57.3,59.5,28.5,26.3
2026-02-03T13:22:45.802798,57.85,33.6,28.3,25.9
2026-02-03T13:22:48.005083,57.85,38.4,28.2,25.7
2026-02-03T13:22:50.209321,57.3,41.5,28.1,25.9
2026-02-03T13:22:52.412253,56.2,36.1,28.1,25.9
2026-02-03T13:22:54.614282,57.85,41.0,28.0,25.3
2026-02-03T13:22:56.817681,58.4,37.8,28.0,25.7
2026-02-03T13:22:59.021911,57.85,43.9,27.9,26.0
2026-02-03T13:23:01.224360,57.3,37.8,27.9,26.2
2026-02-03T13:23:03.427419,57.3,34.4,27.9,26.0
2026-02-03T13:23:05.631697,56.75,44.3,27.9,25.8
2026-02-03T13:23:07.835864,58.4,37.1,27.9,25.8
2026-02-03T13:23:10.040285,58.4,42.6,27.9,25.9
2026-02-03T13:23:12.243379,57.85,31.7,27.9,25.7
2026-02-03T13:23:14.445304,57.3,31.4,27.9,25.5
2026-02-03T13:23:16.649488,57.3,41.5,27.9,26.0
2026-02-03T13:23:18.854567,58.95,31.1,27.9,26.0
2026-02-03T13:23:21.064931,56.2,43.6,27.9,26.6
2026-02-03T13:23:23.268631,58.4,32.1,27.9,26.1
2026-02-03T13:23:25.471593,57.85,34.6,28.0,25.4
2026-02-03T13:23:27.680947,57.3,43.0,27.9,26.0
2026-02-03T13:23:29.886406,58.4,42.8,27.9,26.1
2026-02-03T13:23:32.092907,58.95,55.4,27.9,25.8
2026-02-03T13:23:34.297761,57.3,34.1,27.9,25.4
