timestamp,frame_count,fps,latency_ms
2026-03-26T20:03:33.026805,10,2.437,471.215
2026-03-26T20:03:37.377969,20,2.318,435.095
2026-03-26T20:03:41.419268,30,2.492,404.07
2026-03-26T20:03:45.394783,40,2.542,397.488
2026-03-26T20:03:49.458224,50,2.623,406.325
2026-03-26T20:03:53.312624,60,2.619,385.39
2026-03-26T20:03:57.429010,70,2.404,411.621
2026-03-26T20:04:01.286205,80,2.578,385.703
2026-03-26T20:04:05.489483,90,2.372,420.279
2026-03-26T20:04:09.436206,100,2.59,394.481
2026-03-26T20:04:13.291912,110,2.654,385.521
2026-03-26T20:04:16.780025,120,2.88,348.79
2026-03-26T20:04:20.534918,130,2.642,375.474
2026-03-26T20:04:23.882367,140,3.003,334.729
2026-03-26T20:04:27.468897,150,2.815,358.636
2026-03-26T20:04:31.283407,160,2.655,381.436
2026-03-26T20:04:34.855739,170,2.82,357.219
2026-03-26T20:04:38.488207,180,2.758,363.231
2026-03-26T20:04:42.270772,190,2.636,378.241
2026-03-26T20:04:45.865507,200,2.803,359.458
2026-03-26T20:04:49.357153,210,2.884,349.149
2026-03-26T20:04:52.865401,220,2.878,350.808
2026-03-26T20:04:56.850775,230,2.49,398.521
2026-03-26T20:05:00.930277,240,2.463,407.934
2026-03-26T20:05:04.911410,250,2.527,398.093
2026-03-26T20:05:08.862838,260,2.532,395.125
2026-03-26T20:05:12.664953,270,2.639,380.193
2026-03-26T20:05:16.646503,280,2.487,398.138
2026-03-26T20:05:20.629677,290,2.568,398.299
2026-03-26T20:05:24.632112,300,2.515,400.225
2026-03-26T20:05:28.338066,310,2.707,370.574
2026-03-26T20:05:32.175818,320,2.594,383.758
2026-03-26T20:05:36.206961,330,2.522,403.097
2026-03-26T20:05:39.851943,340,2.762,364.481
2026-03-26T20:05:43.658486,350,2.636,380.637
2026-03-26T20:05:47.358844,360,2.735,370.019
2026-03-26T20:05:51.074374,370,2.694,371.538
2026-03-26T20:05:54.971196,380,2.568,389.666
2026-03-26T20:05:59.065072,390,2.43,409.37
2026-03-26T20:06:02.976514,400,2.561,391.127
2026-03-26T20:06:06.799994,410,2.626,382.327
2026-03-26T20:06:10.541542,420,2.676,374.132
2026-03-26T20:06:14.417530,430,2.591,387.58
2026-03-26T20:06:18.344300,440,2.545,392.659
2026-03-26T20:06:22.181108,450,2.631,383.661
2026-03-26T20:06:25.974980,460,2.637,379.369
2026-03-26T20:06:29.726475,470,2.691,375.132
2026-03-26T20:06:33.683205,480,2.527,395.653
2026-03-26T20:06:37.492032,490,2.633,380.86
2026-03-26T20:06:41.248435,500,2.71,375.622
2026-03-26T20:06:45.001973,510,2.66,375.334
2026-03-26T20:06:48.923211,520,2.563,392.105
2026-03-26T20:06:53.151264,530,2.357,422.788
2026-03-26T20:06:57.324608,540,2.549,417.318
2026-03-26T20:07:01.082241,550,2.666,375.747
2026-03-26T20:07:05.090472,560,2.603,400.797
2026-03-26T20:07:08.871008,570,2.66,378.036
2026-03-26T20:07:12.612369,580,2.685,374.059
2026-03-26T20:07:16.454763,590,2.735,384.198
2026-03-26T20:07:20.232184,600,2.662,377.727
2026-03-26T20:07:23.924192,610,2.751,369.185
2026-03-26T20:07:27.733212,620,2.635,380.886
2026-03-26T20:07:31.434855,630,2.707,370.142
2026-03-26T20:07:35.662197,640,2.39,422.716
2026-03-26T20:07:39.630682,650,2.64,396.831
2026-03-26T20:07:43.560793,660,2.544,392.988
2026-03-26T20:07:47.301745,670,2.715,374.075
2026-03-26T20:07:51.042698,680,2.702,374.072
2026-03-26T20:07:54.941557,690,2.691,389.869
2026-03-26T20:07:58.683624,700,2.674,374.19
2026-03-26T20:08:02.418065,710,2.681,373.427
2026-03-26T20:08:06.109101,720,2.722,369.088
2026-03-26T20:08:10.069602,730,2.53,396.032
2026-03-26T20:08:14.038007,740,2.51,396.621
2026-03-26T20:08:18.026159,750,2.515,398.797
2026-03-26T20:08:22.064044,760,2.51,403.736
2026-03-26T20:08:25.815078,770,2.676,375.087
2026-03-26T20:08:29.759232,780,2.568,394.398
2026-03-26T20:08:33.976955,790,2.375,421.755
2026-03-26T20:08:37.715568,800,2.699,373.843
2026-03-26T20:08:41.599164,810,2.602,388.343
2026-03-26T20:08:45.680077,820,2.442,408.072
2026-03-26T20:08:49.470368,830,2.663,379.009
2026-03-26T20:08:53.544345,840,2.496,407.374
2026-03-26T20:08:57.623033,850,2.498,407.852
2026-03-26T20:09:01.510249,860,2.616,388.702
2026-03-26T20:09:05.389714,870,2.621,387.924
2026-03-26T20:09:09.308665,880,2.579,391.878
2026-03-26T20:09:13.427143,890,2.432,411.831
2026-03-26T20:09:17.488399,900,2.455,406.109
2026-03-26T20:09:21.423598,910,2.562,393.503
2026-03-26T20:09:25.165519,920,2.678,374.173
2026-03-26T20:09:28.992086,930,2.625,382.634
2026-03-26T20:09:32.999902,940,2.488,400.764
2026-03-26T20:09:36.867680,950,2.619,386.727
2026-03-26T20:09:40.677282,960,2.622,380.942
2026-03-26T20:09:44.459522,970,2.706,378.205
2026-03-26T20:09:48.142618,980,2.726,368.292
2026-03-26T20:09:52.047568,990,2.567,390.478
2026-03-26T20:09:55.817781,1000,2.68,377.005
2026-03-26T20:09:59.491614,1010,2.714,367.367
2026-03-26T20:10:03.400740,1020,2.604,390.895
2026-03-26T20:10:07.506388,1030,2.428,410.546
2026-03-26T20:10:11.178408,1040,2.752,367.184
2026-03-26T20:10:14.836003,1050,2.751,365.743
2026-03-26T20:10:18.603388,1060,2.661,376.721
2026-03-26T20:10:22.533347,1070,2.556,392.98
2026-03-26T20:10:26.893436,1080,2.281,435.991
2026-03-26T20:10:31.028414,1090,2.437,413.481
2026-03-26T20:10:34.999319,1100,2.515,397.072
2026-03-26T20:10:38.739074,1110,2.682,373.906
2026-03-26T20:10:42.459083,1120,2.696,371.932
2026-03-26T20:10:46.376525,1130,2.56,391.727
2026-03-26T20:10:50.076967,1140,2.73,370.026
2026-03-26T20:10:53.779277,1150,2.701,370.212
2026-03-26T20:10:57.407673,1160,2.773,362.823
2026-03-26T20:11:01.108331,1170,2.719,370.049
2026-03-26T20:11:04.996983,1180,2.575,388.849
2026-03-26T20:11:08.687593,1190,2.708,369.039
2026-03-26T20:11:12.849577,1200,2.385,416.181
2026-03-26T20:11:16.821611,1210,2.523,397.184
2026-03-26T20:11:20.504402,1220,2.752,368.263
2026-03-26T20:11:24.460408,1230,2.524,395.582
2026-03-26T20:11:28.158069,1240,2.723,369.744
2026-03-26T20:11:31.852558,1250,2.725,369.397
2026-03-26T20:11:35.831166,1260,2.542,397.844
2026-03-26T20:11:39.525259,1270,2.717,369.36
2026-03-26T20:11:43.381157,1280,2.59,385.57
2026-03-26T20:11:47.086410,1290,2.708,370.502
2026-03-26T20:11:50.828672,1300,2.684,374.211
2026-03-26T20:11:54.558652,1310,2.705,372.98
2026-03-26T20:11:58.484704,1320,2.53,392.588
2026-03-26T20:12:02.250834,1330,2.686,376.595
2026-03-26T20:12:06.230304,1340,2.53,397.93
2026-03-26T20:12:10.093431,1350,2.648,386.297
2026-03-26T20:12:13.904149,1360,2.623,381.056
2026-03-26T20:12:17.898379,1370,2.518,399.404
2026-03-26T20:12:21.666502,1380,2.662,376.794
2026-03-26T20:12:25.367191,1390,2.717,370.047
2026-03-26T20:12:29.167331,1400,2.657,379.997
2026-03-26T20:12:32.848020,1410,2.729,368.048
2026-03-26T20:12:36.823582,1420,2.537,397.539
2026-03-26T20:12:40.482871,1430,2.732,365.879
2026-03-26T20:12:44.196655,1440,2.71,371.362
2026-03-26T20:12:47.894598,1450,2.713,369.777
2026-03-26T20:12:51.601005,1460,2.707,370.622
2026-03-26T20:12:55.734196,1470,2.409,413.293
2026-03-26T20:12:59.831573,1480,2.437,409.72
2026-03-26T20:13:03.700775,1490,2.583,386.902
2026-03-26T20:13:07.683350,1500,2.504,398.236
2026-03-26T20:13:11.842201,1510,2.433,415.818
2026-03-26T20:13:15.688039,1520,2.617,384.567
2026-03-26T20:13:19.391543,1530,2.726,370.281
2026-03-26T20:13:23.205062,1540,2.656,381.336
2026-03-26T20:13:27.342080,1550,2.445,413.487
2026-03-26T20:13:31.442320,1560,2.495,410.008
2026-03-26T20:13:35.273787,1570,2.619,383.131
2026-03-26T20:13:39.061282,1580,2.77,378.729
2026-03-26T20:13:43.272941,1590,2.363,421.144
2026-03-26T20:13:47.295008,1600,2.506,402.19
2026-03-26T20:13:51.495828,1610,2.64,420.065
2026-03-26T20:13:55.728859,1620,2.339,423.279
2026-03-26T20:13:59.674558,1630,2.503,394.55
2026-03-26T20:14:03.747054,1640,2.488,407.189
2026-03-26T20:14:08.142921,1650,2.252,439.536
2026-03-26T20:14:11.910018,1660,2.641,376.693
2026-03-26T20:14:15.373544,1670,2.89,346.336
2026-03-26T20:14:20.263925,1680,2.013,489.021
2026-03-26T20:14:24.048605,1690,2.67,378.449
2026-03-26T20:14:27.497703,1700,2.896,344.887
2026-03-26T20:14:31.071371,1710,2.919,357.35
2026-03-26T20:14:34.467172,1720,2.941,339.565
2026-03-26T20:14:37.884635,1730,2.915,341.726
2026-03-26T20:14:41.417325,1740,2.8,353.209
2026-03-26T20:14:44.933414,1750,2.858,351.595
2026-03-26T20:14:48.347745,1760,2.958,341.416
2026-03-26T20:14:51.952407,1770,2.75,360.451
2026-03-26T20:14:55.359191,1780,2.92,340.663
2026-03-26T20:14:58.743697,1790,2.97,338.434
2026-03-26T20:15:02.309772,1800,2.792,356.59
2026-03-26T20:15:05.685952,1810,2.973,337.602
2026-03-26T20:15:09.030290,1820,2.989,334.416
2026-03-26T20:15:12.549359,1830,2.858,351.89
2026-03-26T20:15:15.907865,1840,2.999,335.835
2026-03-26T20:15:19.332843,1850,2.917,342.484
2026-03-26T20:15:22.689926,1860,2.982,335.691
2026-03-26T20:15:26.283845,1870,2.942,359.374
2026-03-26T20:15:29.642601,1880,2.985,335.827
2026-03-26T20:15:33.037031,1890,2.943,339.427
2026-03-26T20:15:36.626937,1900,2.781,358.973
2026-03-26T20:15:39.998723,1910,2.992,337.159
2026-03-26T20:15:43.370793,1920,2.961,337.189
2026-03-26T20:15:46.929333,1930,2.787,355.838
2026-03-26T20:15:50.956928,1940,2.538,402.74
2026-03-26T20:15:55.444107,1950,2.167,448.698
2026-03-26T20:15:59.627557,1960,2.461,418.322
2026-03-26T20:16:03.371221,1970,2.843,374.351
2026-03-26T20:16:06.915810,1980,2.86,354.442
2026-03-26T20:16:10.318955,1990,2.952,340.298
2026-03-26T20:16:13.817715,2000,2.922,349.861
2026-03-26T20:16:17.242444,2010,2.923,342.456
2026-03-26T20:16:20.951440,2020,2.689,370.882
2026-03-26T20:16:24.421075,2030,2.883,346.947
2026-03-26T20:16:27.958419,2040,2.837,353.716
2026-03-26T20:16:31.459536,2050,2.872,350.096
2026-03-26T20:16:34.951363,2060,2.884,349.164
2026-03-26T20:16:38.615426,2070,2.738,366.39
2026-03-26T20:16:42.115274,2080,2.876,349.97
2026-03-26T20:16:45.731622,2090,2.771,361.619
2026-03-26T20:16:49.743789,2100,2.476,401.199
2026-03-26T20:16:53.858928,2110,2.434,411.46
2026-03-26T20:16:58.235158,2120,2.502,437.601
2026-03-26T20:17:02.057746,2130,2.624,382.242
2026-03-26T20:17:06.571489,2140,2.19,451.356
2026-03-26T20:17:10.507759,2150,2.603,393.613
2026-03-26T20:17:14.438557,2160,2.572,393.063
2026-03-26T20:17:18.240355,2170,2.686,380.112
2026-03-26T20:17:21.904671,2180,2.762,366.417
2026-03-26T20:17:25.638429,2190,2.713,373.327
2026-03-26T20:17:29.253323,2200,2.778,361.471
2026-03-26T20:17:33.093004,2210,2.756,383.95
2026-03-26T20:17:36.773561,2220,2.718,368.033
2026-03-26T20:17:40.396516,2230,2.788,362.277
2026-03-26T20:17:44.122072,2240,2.733,372.54
2026-03-26T20:17:47.802837,2250,2.721,368.061
2026-03-26T20:17:51.694793,2260,2.696,389.178
2026-03-26T20:17:55.463404,2270,2.671,376.843
2026-03-26T20:17:59.241445,2280,2.669,377.754
2026-03-26T20:18:03.057161,2290,2.648,381.552
2026-03-26T20:18:06.979205,2300,2.545,392.185
2026-03-26T20:18:10.708913,2310,2.683,372.949
2026-03-26T20:18:14.391969,2320,2.741,368.288
2026-03-26T20:18:18.099868,2330,2.714,370.772
2026-03-26T20:18:21.880234,2340,2.647,378.019
2026-03-26T20:18:25.767891,2350,2.565,388.747
2026-03-26T20:18:29.499003,2360,2.7,373.094
2026-03-26T20:18:33.257664,2370,2.712,375.849
2026-03-26T20:18:37.179176,2380,2.552,392.134
2026-03-26T20:18:41.057288,2390,2.599,387.762
2026-03-26T20:18:45.047974,2400,2.724,399.052
2026-03-26T20:18:48.989498,2410,2.635,394.137
2026-03-26T20:18:52.608157,2420,2.763,361.85
2026-03-26T20:18:56.100865,2430,2.882,349.256
2026-03-26T20:18:59.552732,2440,2.9,345.172
2026-03-26T20:19:03.229349,2450,2.876,367.648
2026-03-26T20:19:07.336076,2460,2.4,410.656
2026-03-26T20:19:11.175489,2470,2.599,383.922
2026-03-26T20:19:15.158922,2480,2.496,398.318
2026-03-26T20:19:19.416976,2490,2.312,425.783
2026-03-26T20:19:23.545300,2500,2.435,412.811
2026-03-26T20:19:28.879618,2510,1.821,533.411
2026-03-26T20:19:33.199365,2520,2.375,431.946
2026-03-26T20:19:37.452829,2530,2.34,425.33
2026-03-26T20:19:41.475322,2540,2.503,402.231
2026-03-26T20:19:46.012231,2550,2.383,453.665
2026-03-26T20:19:50.174928,2560,2.43,416.248
2026-03-26T20:19:54.584083,2570,2.251,440.897
2026-03-26T20:19:58.508832,2580,2.537,392.454
2026-03-26T20:20:02.471643,2590,2.514,396.258
2026-03-26T20:20:06.267827,2600,2.613,379.601
2026-03-26T20:20:10.346239,2610,2.443,407.824
2026-03-26T20:20:14.049625,2620,2.901,370.321
2026-03-26T20:20:17.623484,2630,2.816,357.37
2026-03-26T20:20:21.581245,2640,2.506,395.758
2026-03-26T20:20:25.260754,2650,2.713,367.889
2026-03-26T20:20:29.746850,2660,2.246,448.587
2026-03-26T20:20:34.012426,2670,2.346,426.541
2026-03-26T20:20:38.508201,2680,2.182,449.557
2026-03-26T20:20:43.549220,2690,1.954,504.076
2026-03-26T20:20:49.747380,2700,1.678,619.789
2026-03-26T20:20:54.402264,2710,2.218,465.35
2026-03-26T20:20:58.708663,2720,2.319,430.62
2026-03-26T20:21:03.301887,2730,2.191,459.297
2026-03-26T20:21:06.733607,2740,2.924,343.157
2026-03-26T20:21:10.391875,2750,2.726,365.812
2026-03-26T20:21:13.883249,2760,2.903,349.124
2026-03-26T20:21:17.394414,2770,2.858,351.1
2026-03-26T20:21:21.054330,2780,2.736,365.974
2026-03-26T20:21:24.571257,2790,2.859,351.678
2026-03-26T20:21:28.221614,2800,2.886,365.02
2026-03-26T20:21:31.689138,2810,2.896,346.737
2026-03-26T20:21:35.172881,2820,2.887,348.36
2026-03-26T20:21:38.840348,2830,2.725,366.731
2026-03-26T20:21:42.298830,2840,2.908,345.833
2026-03-26T20:21:45.759696,2850,2.902,346.07
2026-03-26T20:21:49.212438,2860,2.914,345.257
2026-03-26T20:21:52.828501,2870,2.781,361.591
2026-03-26T20:21:56.439826,2880,2.765,361.116
2026-03-26T20:21:59.884917,2890,2.926,344.492
2026-03-26T20:22:03.393261,2900,2.86,350.813
2026-03-26T20:22:06.880686,2910,2.896,348.724
2026-03-26T20:22:10.314907,2920,2.93,343.407
2026-03-26T20:22:13.931742,2930,2.958,361.668
2026-03-26T20:22:17.413857,2940,2.871,348.194
2026-03-26T20:22:20.970170,2950,2.832,355.615
2026-03-26T20:22:24.426428,2960,2.93,345.608
2026-03-26T20:22:27.962307,2970,2.856,353.572
2026-03-26T20:22:31.655038,2980,2.714,369.257
2026-03-26T20:22:35.160234,2990,2.871,350.504
2026-03-26T20:22:38.811467,3000,2.766,365.106
2026-03-26T20:22:42.492183,3010,2.719,368.056
2026-03-26T20:22:45.991746,3020,2.887,349.94
2026-03-26T20:22:49.723366,3030,2.854,373.146
2026-03-26T20:22:53.245896,3040,2.874,352.236
2026-03-26T20:22:56.745341,3050,2.876,349.929
2026-03-26T20:23:00.763621,3060,2.467,401.81
2026-03-26T20:23:05.967218,3070,1.991,520.342
2026-03-26T20:23:10.160596,3080,2.49,419.309
2026-03-26T20:23:15.345179,3090,2.115,518.434
2026-03-26T20:23:19.812624,3100,2.297,446.72
2026-03-26T20:23:24.598598,3110,2.054,478.571
2026-03-26T20:23:28.861660,3120,2.398,426.281
2026-03-26T20:23:34.809903,3130,1.636,594.795
2026-03-26T20:23:39.610943,3140,2.086,480.051
2026-03-26T20:23:43.811584,3150,2.425,420.041
2026-03-26T20:23:47.241132,3160,2.935,342.939
2026-03-26T20:23:50.606582,3170,2.973,336.488
2026-03-26T20:23:54.068795,3180,2.901,346.169
2026-03-26T20:23:57.495045,3190,2.944,342.608
2026-03-26T20:24:01.125789,3200,2.891,363.058
2026-03-26T20:24:04.542451,3210,2.938,341.65
2026-03-26T20:24:08.008310,3220,2.933,346.566
2026-03-26T20:24:11.583669,3230,2.798,357.522
2026-03-26T20:24:15.220741,3240,2.75,363.691
2026-03-26T20:24:18.668129,3250,2.927,344.723
2026-03-26T20:24:22.139544,3260,2.917,347.126
2026-03-26T20:24:25.639680,3270,2.875,349.993
2026-03-26T20:24:29.389853,3280,2.652,374.995
2026-03-26T20:24:33.027977,3290,2.752,363.794
2026-03-26T20:24:36.459367,3300,2.941,343.122
2026-03-26T20:24:39.901235,3310,2.93,344.171
2026-03-26T20:24:44.812553,3320,1.978,491.117
2026-03-26T20:24:48.546653,3330,2.723,373.395
2026-03-26T20:24:52.185614,3340,2.898,363.881
2026-03-26T20:24:56.261982,3350,2.417,407.619
2026-03-26T20:25:00.204740,3360,2.63,394.253
